Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:33:02,SIGNAL_CHANGE,EAST,GREEN,,,,,False,55.6,Maximum time reached
2026-01-30 19:33:03,VEHICLE_COUNT,SOUTH,,8,6,2,0,False,,
2026-01-30 19:33:03,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:33:04,VEHICLE_COUNT,WEST,,7,6,1,0,False,,
2026-01-30 19:33:08,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:33:09,VEHICLE_COUNT,SOUTH,,6,4,2,0,True,,
2026-01-30 19:33:09,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:33:10,VEHICLE_COUNT,WEST,,9,7,2,0,False,,
2026-01-30 19:33:10,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:33:12,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:33:14,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:33:15,VEHICLE_COUNT,SOUTH,,6,4,2,0,True,,
2026-01-30 19:33:16,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:33:16,VEHICLE_COUNT,WEST,,5,5,0,0,False,,
2026-01-30 19:33:21,VEHICLE_COUNT,SOUTH,,7,4,3,0,False,,
2026-01-30 19:33:22,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:33:22,VEHICLE_COUNT,WEST,,4,3,1,0,False,,
2026-01-30 19:33:28,VEHICLE_COUNT,EAST,,5,5,0,0,False,,
2026-01-30 19:33:28,VEHICLE_COUNT,WEST,,5,2,3,0,False,,
2026-01-30 19:33:34,VEHICLE_COUNT,SOUTH,,6,4,2,0,False,,
2026-01-30 19:33:34,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:33:35,VEHICLE_COUNT,WEST,,8,7,1,0,False,,
2026-01-30 19:33:40,VEHICLE_COUNT,SOUTH,,8,6,2,0,False,,
2026-01-30 19:33:40,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:33:41,VEHICLE_COUNT,WEST,,4,2,2,0,False,,
2026-01-30 19:33:46,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:33:47,VEHICLE_COUNT,WEST,,3,3,0,0,False,,
2026-01-30 19:33:52,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:33:52,VEHICLE_COUNT,WEST,,8,6,2,0,False,,
2026-01-30 19:33:58,VEHICLE_COUNT,EAST,,1,1,0,0,False,,
2026-01-30 19:33:58,VEHICLE_COUNT,WEST,,8,6,2,0,False,,
2026-01-30 19:34:03,VEHICLE_COUNT,SOUTH,,3,3,0,0,False,,
2026-01-30 19:34:04,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:34:04,VEHICLE_COUNT,WEST,,10,6,4,0,False,,
